Dates,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,PX_CLOSE_1D
5/15/1997,0.098,0.122,0.125,0.096,1443120000,0.075
5/16/1997,0.086,0.098,0.099,0.085,294000000,0.098
5/19/1997,0.085,0.088,0.089,0.081,122136000,0.086
5/20/1997,0.082,0.086,0.088,0.082,109344000,0.085
5/21/1997,0.071,0.082,0.082,0.069,377064000,0.082
5/22/1997,0.07,0.072,0.072,0.066,233472000,0.071
5/23/1997,0.075,0.07,0.076,0.067,318744000,0.07
5/27/1997,0.079,0.076,0.082,0.073,173952000,0.075
5/28/1997,0.077,0.081,0.082,0.077,91488000,0.079
5/29/1997,0.075,0.077,0.077,0.074,69456000,0.077
5/30/1997,0.075,0.075,0.076,0.074,51888000,0.075
6/2/1997,0.076,0.076,0.077,0.075,11832000,0.075
6/3/1997,0.074,0.077,0.077,0.074,23664000,0.076
6/4/1997,0.071,0.074,0.074,0.07,61608000,0.074
6/5/1997,0.077,0.071,0.077,0.069,113448000,0.071
6/6/1997,0.083,0.076,0.085,0.076,156144000,0.077
6/9/1997,0.084,0.083,0.085,0.083,47040000,0.083
6/10/1997,0.079,0.085,0.085,0.077,109176000,0.084
6/11/1997,0.077,0.08,0.08,0.077,23760000,0.079
6/12/1997,0.08,0.079,0.082,0.078,32640000,0.077
6/13/1997,0.079,0.081,0.081,0.079,13872000,0.08
6/16/1997,0.079,0.08,0.08,0.078,18264000,0.079
6/17/1997,0.075,0.08,0.08,0.075,94128000,0.079
6/18/1997,0.076,0.076,0.077,0.075,49296000,0.075
6/19/1997,0.076,0.076,0.077,0.075,20064000,0.076
6/20/1997,0.076,0.077,0.078,0.075,67752000,0.076
6/23/1997,0.075,0.077,0.077,0.074,20952000,0.076
6/24/1997,0.076,0.075,0.076,0.074,15024000,0.075
6/25/1997,0.076,0.076,0.076,0.074,42120000,0.076
6/26/1997,0.076,0.076,0.076,0.075,63792000,0.076
6/27/1997,0.074,0.076,0.076,0.074,23760000,0.076
6/30/1997,0.077,0.076,0.08,0.074,54936000,0.074
7/1/1997,0.076,0.077,0.077,0.076,25848000,0.077
7/2/1997,0.079,0.076,0.08,0.076,77640000,0.076
7/3/1997,0.096,0.08,0.096,0.08,251544000,0.079
7/7/1997,0.1,0.092,0.101,0.092,161064000,0.096
7/8/1997,0.115,0.102,0.117,0.102,310344000,0.1
7/9/1997,0.116,0.115,0.119,0.114,165240000,0.115
7/10/1997,0.128,0.117,0.129,0.117,181032000,0.116
