Dates,AAPL,AMZN
1997-05-15,0.158,0.098
1997-05-16,0.154,0.086
1997-05-19,0.152,0.085
1997-05-20,0.154,0.082
1997-05-21,0.151,0.071
1997-05-22,0.148,0.07
1997-05-23,0.151,0.075
1997-05-27,0.154,0.079
1997-05-28,0.152,0.077
1997-05-29,0.148,0.075
1997-05-30,0.148,0.075
1997-06-02,0.151,0.076
1997-06-03,0.149,0.074
1997-06-04,0.148,0.071
1997-06-05,0.149,0.077
1997-06-06,0.15,0.083
1997-06-09,0.148,0.084
1997-06-10,0.145,0.079
1997-06-11,0.146,0.077
1997-06-12,0.143,0.08
1997-06-13,0.141,0.079
1997-06-16,0.138,0.079
1997-06-17,0.146,0.075
1997-06-18,0.142,0.076
1997-06-19,0.141,0.076
1997-06-20,0.139,0.076
1997-06-23,0.137,0.075
1997-06-24,0.137,0.076
1997-06-25,0.135,0.076
1997-06-26,0.131,0.076
1997-06-27,0.131,0.074
1997-06-30,0.127,0.077
1997-07-01,0.118,0.076
1997-07-02,0.117,0.079
1997-07-03,0.122,0.096
1997-07-07,0.123,0.1
1997-07-08,0.123,0.115
1997-07-09,0.122,0.116
1997-07-10,0.118,0.128
1997-07-11,0.136,0.115
1997-07-14,0.14,0.107
1997-07-15,0.142,0.122
1997-07-16,0.147,0.117
1997-07-17,0.156,0.111
1997-07-18,0.155,0.108
1997-07-21,0.144,0.109
1997-07-22,0.148,0.107
1997-07-23,0.144,0.115
1997-07-24,0.141,0.113
1997-07-25,0.145,0.111
1997-07-28,0.147,0.116
1997-07-29,0.147,0.124
1997-07-30,0.155,0.122
1997-07-31,0.156,0.12
1997-08-01,0.171,0.121
1997-08-04,0.176,0.116
1997-08-05,0.176,0.11
1997-08-06,0.235,0.113
1997-08-07,0.261,0.109
1997-08-08,0.239,0.115
1997-08-11,0.219,0.116
1997-08-12,0.197,0.11
1997-08-13,0.211,0.11
1997-08-14,0.205,0.108
1997-08-15,0.208,0.106
1997-08-18,0.211,0.102
1997-08-19,0.218,0.108
1997-08-20,0.22,0.108
1997-08-21,0.214,0.106
1997-08-22,0.211,0.106
1997-08-25,0.206,0.111
1997-08-26,0.199,0.117
1997-08-27,0.203,0.116
1997-08-28,0.196,0.119
1997-08-29,0.194,0.117
1997-09-02,0.2,0.118
1997-09-03,0.201,0.117
1997-09-04,0.201,0.128
1997-09-05,0.198,0.125
1997-09-08,0.192,0.15
1997-09-09,0.195,0.162
1997-09-10,0.205,0.165
1997-09-11,0.2,0.158
1997-09-12,0.197,0.184
1997-09-15,0.192,0.155
1997-09-16,0.196,0.168
1997-09-17,0.195,0.17
1997-09-18,0.199,0.165
1997-09-19,0.196,0.197
1997-09-22,0.204,0.225
1997-09-23,0.194,0.231
1997-09-24,0.192,0.219
1997-09-25,0.189,0.204
1997-09-26,0.19,0.208
1997-09-29,0.197,0.202
1997-09-30,0.194,0.217
1997-10-01,0.192,0.201
1997-10-02,0.196,0.201
1997-10-03,0.198,0.201
1997-10-06,0.196,0.206
1997-10-07,0.195,0.203
1997-10-08,0.192,0.2
1997-10-09,0.194,0.188
1997-10-10,0.203,0.195
1997-10-13,0.203,0.2
1997-10-14,0.203,0.199
1997-10-15,0.213,0.196
1997-10-16,0.192,0.181
1997-10-17,0.18,0.181
1997-10-20,0.167,0.191
1997-10-21,0.17,0.221
